State,Narcotic,NonNarcotic,Year,Percentage,From.Yearly.Mean,Yearly.Mean
NC,4026,93741,1996,4.117953910828807,2.012230150160768,2.105723760668039
ND,232,6521,1996,3.435510143639864,1.3297863829718248,2.105723760668039
NE,269,28818,1996,0.9248117715818063,-1.1809119890862327,2.105723760668039
NH,454,13002,1996,3.373959571938169,1.26823581127013,2.105723760668039
NJ,3014,85757,1996,3.395252954230548,1.289529193562509,2.105723760668039
NM,877,39848,1996,2.1534683855125842,0.047744624844545225,2.105723760668039
NV,336,8347,1996,3.869630312104112,1.7639065514360728,2.105723760668039
NY,5338,378959,1996,1.389029838900642,-0.7166939217673971,2.105723760668039
OH,3922,190657,1996,2.015633752871584,-0.09009000779645504,2.105723760668039
OK,363,20522,1996,1.738089537945894,-0.36763422272214497,2.105723760668039
OR,1279,22205,1996,5.446261284278657,3.3405375236106183,2.105723760668039
PA,6206,227904,1996,2.650890606979625,0.5451668463115862,2.105723760668039
RI,385,20516,1996,1.8420171283670639,-0.26370663230097513,2.105723760668039
SC,878,30042,1996,2.8395860284605434,0.7338622677925044,2.105723760668039
SD,17,3964,1996,0.42702838482793265,-1.6786953758401064,2.105723760668039
TX,3968,134296,1996,2.8698721286813633,0.7641483680133243,2.105723760668039
UT,924,25803,1996,3.4571781344707597,1.3514543738027207,2.105723760668039
VA,3257,88720,1996,3.5411026669710903,1.4353789063030513,2.105723760668039
VT,417,16206,1996,2.5085724598447934,0.40284869917675437,2.105723760668039
WA,7266,97636,1996,6.926464700387028,4.820740939718989,2.105723760668039
WI,4255,75116,1996,5.360900076854266,3.255176316186227,2.105723760668039
WV,1705,66368,1996,2.504664110587164,0.39894034991912486,2.105723760668039
WY,76,3911,1996,1.9061951341861048,-0.19952862648193426,2.105723760668039
XX,107392,4899959,1996,2.1446868813470434,0.038963120679004426,2.105723760668039
AK,972,10826,1997,8.238684522800474,4.932517057797389,3.3061674650030852
AL,5497,76018,1997,6.74354413298166,3.437376667978575,3.3061674650030852
AR,1678,33081,1997,4.827526683736586,1.521359218733501,3.3061674650030852
CA,14375,1118103,1997,1.2693403315561098,-2.0368271334469754,3.3061674650030852
CO,378,18243,1997,2.0299661672305462,-1.276201297772539,3.3061674650030852
CT,4372,57009,1997,7.122725273293039,3.8165578082899536,3.3061674650030852
DC,559,23977,1997,2.2782849690251057,-1.0278824959779795,3.3061674650030852
DE,387,21602,1997,1.7599708945381782,-1.546196570464907,3.3061674650030852
FL,7208,187017,1997,3.7111597374179435,0.40499227241485825,3.3061674650030852
GA,4303,121669,1997,3.4158384402883177,0.10967097528523251,3.3061674650030852
HI,1900,12254,1997,13.423767132965947,10.117599667962862,3.3061674650030852
IA,1486,35056,1997,4.066553554813639,0.7603860898105541,3.3061674650030852
ID,1131,9707,1997,10.435504705665252,7.129337240662167,3.3061674650030852
IL,4007,279069,1997,1.4155209201769137,-1.8906465448261716,3.3061674650030852
IN,1325,26259,1997,4.8035092807424595,1.4973418157393743,3.3061674650030852
KS,876,39737,1997,2.1569448206239383,-1.149222644379147,3.3061674650030852
KY,3903,174464,1997,2.1881850342271836,-1.1179824307759016,3.3061674650030852
LA,2175,96726,1997,2.1991688658355324,-1.1069985991675528,3.3061674650030852
MA,4806,258009,1997,1.8286627475600707,-1.4775047174430145,3.3061674650030852
MD,2837,65399,1997,4.157629403833753,0.8514619388306679,3.3061674650030852
ME,2369,49602,1997,4.55831136595409,1.2521439009510047,3.3061674650030852
MI,4827,225603,1997,2.0947793256086444,-1.2113881393944408,3.3061674650030852
MN,1563,67256,1997,2.2711751115244336,-1.0349923534786516,3.3061674650030852
MO,3586,93963,1997,3.6761012414273853,0.36993377642430003,3.3061674650030852
MS,1302,51631,1997,2.4597132223754556,-0.8464542426276296,3.3061674650030852
MT,1461,11812,1997,11.00730806901228,7.701140604009195,3.3061674650030852
NC,10540,108111,1997,8.883195253305914,5.5770277883028285,3.3061674650030852
ND,253,6718,1997,3.6293214746808204,0.3231540096777352,3.3061674650030852
NE,1279,38626,1997,3.205112141335672,-0.10105532366741343,3.3061674650030852
NH,1731,22095,1997,7.265172500629564,3.959005035626479,3.3061674650030852
NJ,5966,90502,1997,6.184434216527761,2.8782667515246754,3.3061674650030852
NM,2042,30988,1997,6.18225855283076,2.8760910878276746,3.3061674650030852
NV,394,4951,1997,7.371375116931713,4.0652076519286275,3.3061674650030852
NY,6479,491671,1997,1.300612265381913,-2.0055551996211722,3.3061674650030852
OH,4869,213885,1997,2.2257878713074963,-1.080379593695589,3.3061674650030852
OK,1244,24270,1997,4.875754487732226,1.5695870227291406,3.3061674650030852
OR,1526,19146,1997,7.381965944272446,4.075798479269361,3.3061674650030852
PA,10499,198227,1997,5.030039381773234,1.7238719167701486,3.3061674650030852
RI,793,18410,1997,4.129563089100661,0.8233956240975759,3.3061674650030852
SC,1549,32554,1997,4.542122393924288,1.2359549289212026,3.3061674650030852
SD,172,5027,1997,3.308328524716292,0.002161059713206903,3.3061674650030852
TX,13640,158566,1997,7.920746083179448,4.614578618176362,3.3061674650030852
UT,1677,25172,1997,6.246042683153935,2.93987521815085,3.3061674650030852
VA,7205,107142,1997,6.300996090846284,2.9948286258431986,3.3061674650030852
VT,1079,20529,1997,4.993520918178453,1.6873534531753673,3.3061674650030852
WA,8077,104613,1997,7.16745052799716,3.861283062994075,3.3061674650030852
WI,7376,72569,1997,9.226343110888736,5.920175645885651,3.3061674650030852
WV,1978,71623,1997,2.687463485550468,-0.6187039794526172,3.3061674650030852
WY,177,4478,1997,3.802363050483351,0.49619558548026577,3.3061674650030852
XX,176559,5096643,1997,3.3482313023472265,0.04206383734414132,3.3061674650030852
AK,1396,14811,1998,8.613562041093354,5.770082936372081,2.843479104721274
AL,7856,109391,1998,6.7003846580296305,3.8569055533083563,2.843479104721274
AR,1261,38285,1998,3.188691650230112,0.34521254550883773,2.843479104721274
CA,14883,1354936,1998,1.0864939090492978,-1.7569851956719764,2.843479104721274
CO,809,47285,1998,1.682122510084418,-1.1613565946368563,2.843479104721274
CT,4826,79267,1998,5.738884330443676,2.8954052257224014,2.843479104721274
DC,824,27416,1998,2.917847025495751,0.07436792077447674,2.843479104721274
DE,547,22500,1998,2.373410856076713,-0.4700682486445613,2.843479104721274
FL,7309,274446,1998,2.594097709002502,-0.24938139571877205,2.843479104721274
GA,3835,141888,1998,2.63170535879717,-0.21177374592410425,2.843479104721274
HI,2447,19782,1998,11.008142516532457,8.164663411811183,2.843479104721274
IA,2095,64464,1998,3.147583347105575,0.3041042423843008,2.843479104721274
ID,521,7040,1998,6.890622933474408,4.047143828753134,2.843479104721274
IL,3954,359206,1998,1.0887762969490031,-1.754702807772271,2.843479104721274
IN,1411,34137,1998,3.969280972206594,1.1258018674853196,2.843479104721274
